ID,obs_number,Approach_speed,Site,Risk,Docility,Exploration,Sex,Number_captures
J086,0,40,MV1,40,1,125,M,50
J086,1,40,MV1,40,1,125,M,50
J086,2,40,MV1,40,1,125,M,50
J086,3,40,MV1,40,1,125,M,50
J086,4,40,MV1,40,1,125,M,50
J086,5,40,MV1,40,1,125,M,50
J086,7,40,MV1,40,1,125,M,50
J086,8,40,MV1,40,1,125,M,50
J086,9,40,MV1,40,1,125,M,50
L003,0,20,MV5,20,30,62,F,101
L003,1,20,MV5,20,30,62,F,101
L003,2,20,MV5,20,30,62,F,101
L003,3,20,MV5,20,30,62,F,101
L003,4,20,MV5,20,30,62,F,101
L003,5,20,MV5,20,30,62,F,101
L003,6,20,MV5,20,30,62,F,101
L007,0,60,MV1,60,11,54,M,82
L007,1,60,MV1,60,11,54,M,82
L101,0,60,MV4,60,53,42,M,53
L101,1,60,MV4,60,53,42,M,53
L101,2,60,MV4,60,53,42,M,53
L101,3,60,MV4,60,53,42,M,53
L101,4,60,MV4,60,53,42,M,53
L101,5,60,MV4,60,53,42,M,53
N004,0,40,MV5,40,2,48,M,38
N004,1,40,MV5,40,2,48,M,38
N004,2,40,MV5,40,2,48,M,38
N004,3,40,MV5,40,2,48,M,38
N004,4,40,MV5,40,2,48,M,38
N004,5,40,MV5,40,2,48,M,38
N004,6,40,MV5,40,2,48,M,38
N004,7,40,MV5,40,2,48,M,38
N004,8,40,MV5,40,2,48,M,38
N004,9,40,MV5,40,2,48,M,38
N004,10,40,MV5,40,2,48,M,38
N018,0,40,MV1,40,7,74,M,51
N018,1,40,MV1,40,7,74,M,51
N018,2,40,MV1,40,7,74,M,51
N018,3,40,MV1,40,7,74,M,51
N018,4,40,MV1,40,7,74,M,51
N018,5,40,MV1,40,7,74,M,51
N018,6,40,MV1,40,7,74,M,51
N018,7,40,MV1,40,7,74,M,51
N018,8,40,MV1,40,7,74,M,51
N018,9,40,MV1,40,7,74,M,51
N018,10,40,MV1,40,7,74,M,51
N018,11,40,MV1,40,7,74,M,51
N018,12,40,MV1,40,7,74,M,51
N018,13,40,MV1,40,7,74,M,51
N018,14,40,MV1,40,7,74,M,51
N065,0,40,MV4,40,6,58,M,41
N065,1,40,MV4,40,6,58,M,41
N065,2,40,MV4,40,6,58,M,41
N065,3,40,MV4,40,6,58,M,41
N065,4,40,MV4,40,6,58,M,41
N070,0,40,MV1,40,0,66,M,22
N070,1,40,MV1,40,0,66,M,22
N070,2,40,MV1,40,0,66,M,22
N070,3,40,MV1,40,0,66,M,22
N070,4,40,MV1,40,0,66,M,22
N070,5,40,MV1,40,0,66,M,22
N070,6,40,MV1,40,0,66,M,22
N070,7,40,MV1,40,0,66,M,22
N070,8,40,MV1,40,0,66,M,22
N070,9,40,MV1,40,0,66,M,22
N070,10,40,MV1,40,0,66,M,22
N070,11,40,MV1,40,0,66,M,22
N070,12,40,MV1,40,0,66,M,22
N095,0,40,MV1,40,5,51,F,72
N095,1,40,MV1,40,5,51,F,72
N095,2,40,MV1,40,5,51,F,72
N095,3,40,MV1,40,5,51,F,72
N095,4,40,MV1,40,5,51,F,72
N124,0,60,MV5,60,60,64,F,57
N124,1,60,MV5,60,60,64,F,57
N124,2,60,MV5,60,60,64,F,57
N124,3,60,MV5,60,60,64,F,57
N124,4,60,MV5,60,60,64,F,57
N124,5,60,MV5,60,60,64,F,57
N124,6,60,MV5,60,60,64,F,57
N124,7,60,MV5,60,60,64,F,57
